Period,Volume
1,4147.343750269537
2,3233.885281965526
3,3459.884709566424
4,2501.453922259613
5,4356.712504592114
6,1861.1574556506948
7,2986.827021145128
8,2745.4055344569733
9,3110.1494217906647
10,3172.7150251711378
11,3412.476065867048
12,3087.882673406117
13,3150.655198440826
14,3607.998644211057
15,3166.7100165315696
16,3412.382045536085
17,3541.0996490193334
18,4991.855229121262
19,3865.374423664246
20,4507.090528351569
21,4439.830522518583
22,4014.013153761177
23,4590.302856111763
24,3105.5112909865607
